#ID	Eff	Starttime	decay	cost	tCost	pCost	rate	loanLength	duration	co2	solarBased	policy	X	Y	conversion
48	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	48	0.0	0.0	100.0
49	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	49	0.0	0.0	100.0
50	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	50	0.0	0.0	100.0
51	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	51	0.0	0.0	100.0
52	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	52	0.0	0.0	100.0
53	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	53	0.0	0.0	100.0
54	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	54	0.0	0.0	100.0
55	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	55	0.0	0.0	100.0
56	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	56	0.0	0.0	100.0
57	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	57	0.0	0.0	100.0
58	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	58	0.0	0.0	100.0
59	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	59	0.0	0.0	100.0
60	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	60	0.0	0.0	100.0
61	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	61	0.0	0.0	100.0
62	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	62	0.0	0.0	100.0
63	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	63	0.0	0.0	100.0
64	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	64	0.0	0.0	100.0
65	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	65	0.0	0.0	100.0
66	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	66	0.0	0.0	100.0
67	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	67	0.0	0.0	100.0
68	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	68	0.0	0.0	100.0
69	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	69	0.0	0.0	100.0
70	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	70	0.0	0.0	100.0
71	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	71	0.0	0.0	100.0
72	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	72	0.0	0.0	100.0
73	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	73	0.0	0.0	100.0
74	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	74	0.0	0.0	100.0
75	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	75	0.0	0.0	100.0
76	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	76	0.0	0.0	100.0
77	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	77	0.0	0.0	100.0
78	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	78	0.0	0.0	100.0
79	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	79	0.0	0.0	100.0
80	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	80	0.0	0.0	100.0
81	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	81	0.0	0.0	100.0
82	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	82	0.0	0.0	100.0
83	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	83	0.0	0.0	100.0
84	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	84	0.0	0.0	100.0
85	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	85	0.0	0.0	100.0
86	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	86	0.0	0.0	100.0
87	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	87	0.0	0.0	100.0
88	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	88	0.0	0.0	100.0
89	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	89	0.0	0.0	100.0
90	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	90	0.0	0.0	100.0
91	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	91	0.0	0.0	100.0
92	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	92	0.0	0.0	100.0
93	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	93	0.0	0.0	100.0
94	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	94	0.0	0.0	100.0
95	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	95	0.0	0.0	100.0
96	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	96	0.0	0.0	100.0
97	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	97	0.0	0.0	100.0
98	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	98	0.0	0.0	100.0
99	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	99	0.0	0.0	100.0
100	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	100	0.0	0.0	100.0
101	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	101	0.0	0.0	100.0
102	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	102	0.0	0.0	100.0
103	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	103	0.0	0.0	100.0
104	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	104	0.0	0.0	100.0
105	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	105	0.0	0.0	100.0
106	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	106	0.0	0.0	100.0
107	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	107	0.0	0.0	100.0
108	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	108	0.0	0.0	100.0
109	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	109	0.0	0.0	100.0
110	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	110	0.0	0.0	100.0
111	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	111	0.0	0.0	100.0
112	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	112	0.0	0.0	100.0
113	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	113	0.0	0.0	100.0
114	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	114	0.0	0.0	100.0
115	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	115	0.0	0.0	100.0
116	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	116	0.0	0.0	100.0
117	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	117	0.0	0.0	100.0
118	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	118	0.0	0.0	100.0
119	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	119	0.0	0.0	100.0
120	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	120	0.0	0.0	100.0
121	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	121	0.0	0.0	100.0
122	1.0	0	0.0	-0.02	0.0	4000.0	0.04	120	50	1.0	1	0	0.0	0.0	100.0
